district,doc,pre_date,cur_date,days,pre_read,cur_read,consumption,bill,obstcle,meter,Y,X,ID,flats,land_use,capacity,diameter
ناحيه روستايي گرگان,11562282,981003,991002,60,6884,14468,44,959892,nan,1393/02/15,4080411.83375,,16811125,6,مسكوني,36,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11249754,950531,970123,36,4822,20393,564,837810,nan,1392/10/22,,272352.230888,24051000,24,مسكوني,28,0.75
املاک استيجاري اموزشي  ,11256041,941112,950920,86,2633,9368,72,57494,nan,1391/12/26,,,17787500,1,مسكوني,52,0.75
ناحيه 9 گرگان,41143090,990208,950823,700,10141,4147,526,1862101,از کار افتاده,1391/06/04,4076067.73362,,41561201,16,مسكوني,14,0.75
ناحيه 4 گرگان,11608371,941112,990417,314,9932,12927,612,1143926,از کار افتاده,1394/06/01,,,16570500,10,مسكوني,8,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11276794,960213,970610,273,6753,788,646,1591168,قرائت نشده,1392/08/18,4078971.52465,272472.179336,16451200,11,مسكوني,79,0.75
ناحيه 5 گرگان,41173592,980808,950531,171,30082,6345,538,593574,قرائت نشده,1394/09/07,,271740.807958,62612500,15,مسكوني,32,0.75
ناحيه 2 گرگان,11336151,941202,991020,399,17969,13592,590,176910,از کار افتاده,1396/06/25,4079229.83853,,51815100,3,مسكوني,12,0.75
املاک استيجاري اموزشي  ,11427679,950521,980422,155,10685,8860,372,538748,از کار افتاده,1391/11/21,,36.847325,22619600,10,مسكوني,72,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41150410,970221,980407,385,18387,11405,76,733630,از کار افتاده,1399/07/09,4079461.44652,272524.028143,61185500,28,مسكوني,60,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11312995,991013,981111,314,8931,7493,792,561976,nan,1397/03/14,,271420.953627,25103300,3,مسكوني,52,0.75
ناحيه 3 گرگان,41166006,990809,950828,104,8312,12458,426,969099,از کار افتاده,1398/10/24,,273250.30486,21941400,6,مسكوني,77,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11311263,960222,991116,23,5121,1615,646,683824,از کار افتاده,1392/02/14,4077610.575780001,270075.150656,22122200,12,مسكوني,37,0.75
ناحيه 4 گرگان,11130447,980201,990217,501,7662,10065,379,1556741,قرائت نشده,1396/09/27,4080438.69175,273052.796532,42634800,7,مسكوني,62,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,61695921,990219,991102,254,17741,13942,202,862731,nan,1392/07/14,4079521.90655,272403.09850900003,65223700,17,مسكوني,100,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11340824,980409,980312,86,1083,5085,79,1339394,nan,1395/11/12,4079598.93385,,16947300,7,مسكوني,75,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11450239,940714,980423,200,3327,10362,523,469278,nan,1394/09/07,4077827.58509,,42625600,2,مسكوني,36,0.75
ناحيه 4 گرگان,11307177,960402,950312,52,10208,8232,293,544105,قرائت نشده,1398/05/10,4079517.57169,,25034900,13,مسكوني,22,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11381792,971008,960823,220,359,9994,6,261705,از کار افتاده,1393/09/13,,272039.197942,52100125,14,مسكوني,58,0.75
ناحيه 6 گرگان,11117220,970920,950815,96,9381,7031,551,2986867,قرائت نشده,1390/02/01,,,45130700,1,مسكوني,28,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11315901,950924,960230,21,8316,3318,533,311623,nan,1393/05/05,,,25101700,14,مسكوني,12,0.75
ناحيه 8 گرگان,61693957,970505,960916,120,24832,5950,29,583186,nan,1399/11/15,,,24202800,8,مسكوني,79,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11357034,961223,980330,17,11101,1244,217,1617152,قرائت نشده,1392/02/26,,,25140900,28,مسكوني,16,0.75
ناحيه 3 گرگان,11643877,950718,970631,82,7421,15283,92,1345819,از کار افتاده,1399/05/10,,,21434900,11,مسكوني,30,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11271989,990915,980307,33,12111,2855,13,182500,قرائت نشده,1398/02/14,,,61001003,24,مسكوني,12,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41013978,961007,970710,15,11979,3206,178,196595,از کار افتاده,1398/02/29,,,26248700,6,مسكوني,77,0.75
ناحيه 1 گرگان,11136259,950204,990924,162,13973,12293,29,1435543,nan,1395/03/29,,274529.00705,21752400,28,مسكوني,43,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11629221,950613,960331,70,660,12463,338,175986,قرائت نشده,1398/06/05,54.436298333333305,,61222700,42,مسكوني,20,0.75
ناحيه 3 گرگان,11615114,961027,960417,75,8658,3593,1069,342570,از کار افتاده,1394/01/28,4077991.28235,273052.77881,26250965,2,مسكوني,70,0.75
ناحيه 8 گرگان,61692536,960807,970827,239,4895,2611,733,888463,قرائت نشده,1397/09/17,,273062.710985,45300200,10,مسكوني,165,0.75
ناحيه 1 گرگان,11503201,970402,990526,13,6405,963,681,1245273,از کار افتاده,1393/09/13,,,26401200,5,مسكوني,41,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41178934,970322,960531,24,19925,4658,496,394427,از کار افتاده,1391/03/08,,,25140100,12,مسكوني,296,0.75
ناحيه 5 گرگان,11380818,990722,970912,239,19832,23488,271,677321,از کار افتاده,1392/10/09,,272390.992772,61430200,14,مسكوني,61,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11131150,960922,970305,138,1039,6166,123,2658151,قرائت نشده,1396/05/14,4075871.20893,,16616800,6,مسكوني,9,0.75
ناحيه 2 گرگان,11108212,970108,970716,97,5670,4636,270,107924,nan,1392/11/23,,36.8466083333333,64385325,21,مسكوني,8,0.75
ناحيه 6 گرگان,11445723,991020,950725,175,11472,2955,714,796902,از کار افتاده,1395/02/27,4081271.86667,,63402600,23,مسكوني,14,0.75
ناحيه 50 مراکز اداري دولتي ,11315471,980402,951020,47,4536,1726,1259,1126422,قرائت نشده,1398/07/13,,,62321700,20,مسكوني,131,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11177141,980820,960202,34,6860,11737,541,1090426,قرائت نشده,1396/04/22,4080712.81991,272642.15876900003,16613701,4,مسكوني,114,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11363051,971006,950926,125,8863,15594,245,2065367,nan,1393/01/20,,,25292800,6,مسكوني,19,0.75
ناحيه 50 مراکز اداري دولتي ,11417886,950218,970201,3221,2726,5573,743,954372,از کار افتاده,1397/04/14,,,12000600,4,مسكوني,65,0.75
ناحيه 6 گرگان,11319906,970619,950828,107,11163,14039,584,124784,قرائت نشده,1394/11/26,4075591.35179,272858.713776,26202200,6,مسكوني,100,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11586319,971201,991118,242,13513,8308,533,425076,nan,1390/01/18,,,25107400,6,مسكوني,42,0.75
ناحيه 7 گرگان,11643401,951217,981022,171,972,10086,577,72028,از کار افتاده,1395/07/12,4076267.50496,,17247900,18,مسكوني,104,0.75
ناحيه 7 گرگان,11510355,980720,960621,24,2387,1102,137,975665,از کار افتاده,1394/05/08,,272291.819571,46603900,11,مسكوني,20,0.75
ناحيه 5 گرگان,11504525,990919,990823,86,5715,2037,121,2123086,قرائت نشده,1397/06/21,4080968.71983,,26221000,28,مسكوني,60,0.75
ناحيه 5 گرگان,11461648,980426,960420,88,2774,8566,235,54681,قرائت نشده,1395/07/29,,,32401600,11,مسكوني,37,0.75
ناحيه 50 مراکز اداري دولتي ,11118137,990623,960715,63,6069,4021,218,646393,از کار افتاده,1398/08/14,,270917.522201,22220900,24,مسكوني,50,0.75
ناحيه 50 مراکز اداري دولتي ,61692796,971219,970213,115,10097,14102,632,1543558,از کار افتاده,1395/02/16,,,42300400,18,مسكوني,28,0.75
ناحيه 50 مراکز اداري دولتي ,11614959,980121,960622,400,15614,14722,445,125676,قرائت نشده,1397/11/27,,271590.906539,17204201,9,مسكوني,66,0.75
املاک استيجاري اموزشي  ,41133671,980910,990723,66,9185,7217,2376,648237,از کار افتاده,1392/01/19,4076866.3032,,23363900,18,مسكوني,75,0.75
ناحيه 6 گرگان,11311727,960529,970218,97,10754,10692,599,416800,قرائت نشده,1394/04/11,,271487.808875,23440600,6,مسكوني,17,0.75
ناحيه روستايي گرگان,11389785,990629,960820,4,788,1767,626,300072,قرائت نشده,1396/07/29,4077236.30315,269832.232971,45152400,2,مسكوني,75,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11296469,970319,950923,75,9005,5268,612,893467,قرائت نشده,1391/09/15,,272296.183509,61420300,13,مسكوني,6,0.75
ناحيه 4 گرگان,11658904,960201,980311,201,990,8923,309,1175974,nan,1395/11/17,4080382.39392,,64542600,18,مسكوني,42,0.75
ناحيه 7 گرگان,41132195,981125,950602,131,2280,17795,417,600922,قرائت نشده,1396/01/15,,273283.751658,51792900,9,مسكوني,18,0.75
ناحيه 9 گرگان,11318624,990117,980527,166,18334,3447,446,884477,nan,1396/09/29,,271341.845861,21030400,17,مسكوني,8,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,61693758,950601,971023,218,1291,16457,533,2982830,قرائت نشده,1396/01/11,4076022.13771,,22350601,10,مسكوني,114,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11503219,941026,950810,239,24482,13002,398,640475,nan,1398/09/28,4079625.87462,269990.528015,22561000,2,مسكوني,5,0.75
ناحيه 9 گرگان,11292536,970216,960621,154,17033,8534,88,1075044,nan,1392/03/27,4079606.62072,273583.314084,46763500,42,مسكوني,41,0.75
ناحيه 1 گرگان,41120103,990325,981219,377,9160,3,140,1527972,از کار افتاده,1397/07/16,,274276.322091,41050700,23,مسكوني,24,0.75
ناحيه 3 گرگان,11601245,970120,951008,26,6610,35153,798,745863,قرائت نشده,1399/05/30,4080004.58206,,26361800,23,مسكوني,61,0.75
ناحيه 5 گرگان,11616331,970117,961003,113,2261,10906,709,566428,از کار افتاده,1396/09/10,,271640.765297,11453100,14,مسكوني,35,0.75
ناحيه 6 گرگان,11287753,950120,950605,56,16255,7686,69,1038835,nan,1397/11/18,,271949.17128,26500300,5,مسكوني,52,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11683703,950129,980926,41,14218,4574,265,1247616,از کار افتاده,1392/04/08,4078970.14996,,26360900,15,مسكوني,20,0.75
ناحيه 3 گرگان,11308335,981222,950312,239,1194,8795,954,509352,از کار افتاده,1399/12/07,4078567.79584,,65180165,15,مسكوني,131,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11316371,970721,950822,289,17314,7530,364,1269473,از کار افتاده,1397/03/03,4078712.68783,270575.350574,17261000,7,مسكوني,12,0.75
ناحيه روستايي گرگان,11326325,980625,960628,1012,10389,5280,259,66120,قرائت نشده,1394/07/30,,,46611000,6,مسكوني,58,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11659636,950613,970702,237,3148,7311,11,344393,nan,1390/12/23,,,21423000,1,مسكوني,75,0.75
ناحيه 7 گرگان,11214071,971216,970717,357,3186,7679,360,875150,از کار افتاده,1391/03/22,4079833.28123,,16982200,10,مسكوني,40,0.75
ناحيه 1 گرگان,61689421,970923,960602,38,13661,4682,172,319415,قرائت نشده,1392/05/16,4082378.26558,,14412200,4,مسكوني,0,0.75
ناحيه 4 گرگان,11494635,950715,981103,404,8413,9490,634,2192299,از کار افتاده,1392/02/03,,272725.879223,46628000,13,مسكوني,50,0.75
ناحيه 2 گرگان,11140141,941027,961103,220,7409,4139,766,1187460,از کار افتاده,1395/10/07,,272506.166141,14003506,13,مسكوني,77,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11509594,950825,990129,103,11703,4736,730,328650,قرائت نشده,1398/03/07,4081460.1984,,16645800,20,مسكوني,51,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11650756,971028,950622,90,4476,13270,237,334582,قرائت نشده,1398/01/31,4082025.26617,,14503100,10,مسكوني,11,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11608266,971001,990426,86,12991,12012,180,324115,از کار افتاده,1395/04/06,4079269.34513,,63300700,9,مسكوني,8,0.75
ناحيه روستايي گرگان,11348299,960531,990922,356,14261,12085,457,463714,قرائت نشده,1399/05/30,4077101.58372,,25151600,9,مسكوني,42,0.75
ناحيه روستايي گرگان,11530917,990324,980529,108,7288,7006,526,1937746,nan,1397/08/06,,269920.039702,27069100,3,مسكوني,9,0.75
املاک استيجاري اموزشي  ,11101935,960312,970607,51,8259,2289,834,1018546,از کار افتاده,1398/02/18,,,14013400,5,مسكوني,15,0.75
ناحيه 7 گرگان,11251716,960928,991104,141,14850,9947,72,282492,از کار افتاده,1399/02/16,,272741.12018200004,17848410,24,مسكوني,80,0.75
ناحيه 6 گرگان,11600451,960802,950922,307,9850,8666,597,1172059,از کار افتاده,1397/03/16,,,25221800,13,مسكوني,72,0.75
ناحيه 9 گرگان,11241648,980231,960714,94,2384,17992,1155,317072,از کار افتاده,1393/07/23,4078880.2308,,14961600,14,مسكوني,9,0.75
ناحيه 4 گرگان,11165968,950819,990204,257,444,5355,451,188587,از کار افتاده,1393/03/22,4076185.92785,,22618900,4,مسكوني,16,0.75
املاک استيجاري اموزشي  ,61691043,990224,960326,163,17047,2994,142,3071485,nan,1399/03/29,4077108.72525,274301.783394,26453401,14,مسكوني,27,0.75
ناحيه 3 گرگان,11202987,990312,960205,119,4969,11780,567,1056032,قرائت نشده,1392/11/29,4080521.4805,,27312000,11,مسكوني,100,0.75
ناحيه 8 گرگان,11533363,970805,951026,53,6789,19661,79,601356,از کار افتاده,1394/11/24,4078926.10621,273536.8091,51730200,11,مسكوني,8,0.75
املاک استيجاري اموزشي  ,11181360,960429,960331,61,4982,9095,910,363684,از کار افتاده,1393/02/25,4078928.13762,,44430700,5,مسكوني,240,0.75
ناحيه 9 گرگان,11147072,951221,960420,23,8593,9363,479,190956,از کار افتاده,1399/02/09,,271975.942816,61002400,14,مسكوني,30,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11357735,980816,990704,573,578,3841,319,1326483,nan,1399/12/10,4081939.34892,,74222925,24,مسكوني,65,0.75
املاک استيجاري اموزشي  ,11416456,961018,990510,104,5100,8,563,1335071,قرائت نشده,1393/01/20,4079872.09609,,55274900,28,مسكوني,41,0.75
ناحيه 50 مراکز اداري دولتي ,41169811,980623,960109,258,1074,9956,817,1366817,قرائت نشده,1394/03/16,,,25041200,14,مسكوني,40,0.75
ناحيه 9 گرگان,11255371,941009,971026,607,7192,10208,73,542144,از کار افتاده,1392/02/17,4079318.64539,,33151900,28,مسكوني,6,0.75
ناحيه 5 گرگان,11702583,970503,971104,152,16076,11456,443,207386,از کار افتاده,1390/01/23,,272415.759254,25193200,9,مسكوني,104,0.75
ناحيه 1 گرگان,11540092,980210,990911,49,17150,7526,417,505189,nan,1394/01/19,,273043.406932,32404100,4,مسكوني,65,0.75
ناحيه 5 گرگان,41133051,960828,970726,50,7812,2853,193,1329122,قرائت نشده,1393/08/23,,,31704300,9,مسكوني,17,0.75
ناحيه 9 گرگان,41174271,920814,991106,153,3161,8830,974,1339839,nan,1394/02/13,4078078.72403,,14716500,10,مسكوني,61,0.75
ناحيه 7 گرگان,41176010,971118,980222,201,3773,5151,504,526266,از کار افتاده,1396/10/01,,,33421901,14,مسكوني,131,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11488520,981124,970822,369,10197,10776,539,3246048,nan,1394/06/21,4076375.10304,270884.769229,44411400,42,مسكوني,41,0.75
ناحيه 2 گرگان,11366386,970516,990402,240,5287,34528,735,463995,nan,1397/11/29,4079993.79862,272554.16120100004,22362200,21,مسكوني,16,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11331027,950608,990424,313,1592,12260,32,360784,قرائت نشده,1399/04/26,,272398.050836,51700600,16,مسكوني,52,0.75
ناحيه 7 گرگان,11358651,950512,970121,9,12547,7221,450,599030,nan,1396/08/02,4081098.80601,273467.793315,62432500,12,مسكوني,6,0.75
املاک استيجاري اموزشي  ,11472160,980117,970223,275,2107,7576,57,608180,nan,1397/12/03,4079532.86949,,25211300,15,مسكوني,105,0.75
ناحيه 2 گرگان,11609386,980417,990221,13,6125,19542,43,714208,قرائت نشده,1397/08/27,,,74223600,4,مسكوني,9,0.75
ناحيه 50 مراکز اداري دولتي ,11238205,940912,990522,104,10006,520,5,730845,nan,1394/11/01,,,43564302,24,مسكوني,8,0.75
ناحيه 50 مراکز اداري دولتي ,41114588,941019,981020,338,6398,1350,48,553424,nan,1393/02/18,4078801.88474,,11454300,9,مسكوني,75,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11309951,970108,980924,749,1453,23063,730,1533567,قرائت نشده,1395/02/16,4081445.19214,,27070001,23,مسكوني,60,0.75
ناحيه 5 گرگان,11514873,980528,950111,164,652,319,916,648300,از کار افتاده,1398/02/18,,,25114300,12,مسكوني,65,0.75
ناحيه 6 گرگان,11328328,941017,971204,378,132,11015,86,838851,از کار افتاده,1391/10/28,,272017.650904,17750125,11,مسكوني,7,0.75
ناحيه 9 گرگان,61693185,960118,950103,233,1408,26437,219,262355,قرائت نشده,1393/07/12,,272744.48225,27082400,7,مسكوني,50,0.75
ناحيه 50 مراکز اداري دولتي ,11620107,981115,980617,425,14425,5388,116,956778,قرائت نشده,1398/10/19,4080702.5955,270618.98488400003,14142400,6,مسكوني,165,0.75
ناحيه 8 گرگان,11412973,990316,990220,153,18231,8337,161,1936881,nan,1394/11/12,4080098.57151,,25231800,23,مسكوني,41,0.75
ناحيه 1 گرگان,11610449,950329,970818,979,11400,6302,306,734019,قرائت نشده,1393/09/11,,271783.038556,24050200,18,مسكوني,79,0.75
ناحيه 8 گرگان,11419706,950417,990918,162,1998,1862,779,468044,nan,1396/07/20,,272910.620271,16650600,18,مسكوني,18,0.75
ناحيه 6 گرگان,11487736,960717,990611,176,14653,17902,412,818636,nan,1398/04/20,,272373.482694,27026400,5,مسكوني,13,0.75
ناحيه 6 گرگان,11479121,970930,970824,13,2252,15928,56,2234238,قرائت نشده,1398/04/09,4077246.53537,,52622400,13,مسكوني,50,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11137905,960410,960918,93,2169,10860,3,1567654,قرائت نشده,1395/03/20,,272014.21647,25311701,5,مسكوني,30,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11526154,961028,980431,94,4073,8279,938,1147214,nan,1390/04/15,54.405315,,51041200,12,مسكوني,52,0.75
املاک استيجاري اموزشي  ,11121189,970927,950209,207,5304,14147,476,812366,قرائت نشده,1398/05/26,4076561.22684,272294.778972,25312000,9,مسكوني,12,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11172433,950710,970824,2222,7170,14149,419,1430864,nan,1397/12/06,,271846.373706,21639300,3,مسكوني,36,0.75
ناحيه 7 گرگان,11611275,941023,950701,231,5605,6120,324,1673388,از کار افتاده,1398/05/31,4077287.29187,,16723000,4,مسكوني,104,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11600958,990126,990303,38,6204,741,561,127966,قرائت نشده,1395/11/21,,,21994000,13,مسكوني,12,0.75
ناحيه 3 گرگان,11347144,950308,961012,289,16174,2793,997,1046375,قرائت نشده,1397/04/22,,272561.063981,23070600,11,مسكوني,75,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11492659,990705,980328,187,8898,10057,67,567847,قرائت نشده,1399/04/23,4078151.06514,271313.184201,41254500,9,مسكوني,9,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11309226,980309,991013,240,11066,2883,605,89580,nan,1394/06/07,,272816.488459,41236100,3,مسكوني,42,0.75
ناحيه 3 گرگان,11669712,950613,970229,243,9508,8647,462,2266204,از کار افتاده,1390/03/12,,,14262700,9,مسكوني,9,0.75
ناحيه 2 گرگان,11522248,941226,991111,1210,9644,19465,226,502192,از کار افتاده,1395/07/04,,,17232245,21,مسكوني,70,0.75
ناحيه 3 گرگان,11411853,990231,951028,23,1223,2817,176,1700545,از کار افتاده,1394/02/22,4075778.32183,274120.355596,26482600,6,مسكوني,75,0.75
ناحيه 3 گرگان,11323121,950315,991113,10,27135,8549,28,316214,از کار افتاده,1394/09/05,,,25241200,21,مسكوني,18,0.75
ناحيه 1 گرگان,11101170,950603,980121,75,3078,18817,56,1441790,از کار افتاده,1394/06/01,,271703.981409,21152600,17,مسكوني,17,0.75
ناحيه 8 گرگان,11358391,970417,981214,88,20289,2849,1545,948851,nan,1394/08/24,,,26361851,10,مسكوني,48,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11271237,951006,990701,260,870,4399,520,1383797,از کار افتاده,1395/02/27,4080078.0359,272857.449111,62431600,6,مسكوني,40,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11301993,960313,990903,30,7942,1321,382,924631,از کار افتاده,1397/04/18,,274031.349723,11138200,23,مسكوني,24,0.75
ناحيه 1 گرگان,11605887,970427,980228,700,6116,10356,597,436349,قرائت نشده,1394/05/24,,273008.048246,55091150,9,مسكوني,165,0.75
ناحيه 2 گرگان,11243535,970906,990325,306,10723,8344,497,618922,nan,1396/02/19,4079966.40768,,11504500,3,مسكوني,100,0.75
ناحيه 9 گرگان,11366530,950220,981029,83,12009,17062,462,1332807,قرائت نشده,1394/11/15,,270513.633603,14970200,23,مسكوني,24,0.75
ناحيه 5 گرگان,41125326,961109,971018,129,23191,19760,394,139087,قرائت نشده,1395/12/11,,270307.014316,21433200,20,مسكوني,32,0.75
ناحيه 2 گرگان,11676791,960426,970707,143,7333,12354,584,205345,nan,1393/12/23,,,14504500,5,مسكوني,5,0.75
ناحيه 2 گرگان,11689031,990923,980418,196,3488,11075,538,627161,از کار افتاده,1394/05/07,,273324.251927,15965900,42,مسكوني,65,0.75
ناحيه 50 مراکز اداري دولتي ,11503359,980920,990422,242,9962,6909,77,753722,قرائت نشده,1390/08/11,,272333.37308,17802700,24,مسكوني,165,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11146505,931225,970302,414,6103,44975,546,1398600,قرائت نشده,1394/11/19,,,68063500,42,مسكوني,72,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11172433,990203,950116,25,4193,10162,369,873734,قرائت نشده,1393/09/20,,270845.398725,23610700,23,مسكوني,17,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11478095,980512,980313,42,10923,4233,138,882742,قرائت نشده,1397/04/08,,,51791100,12,مسكوني,40,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11395181,961029,961123,415,14612,3540,234,1172117,nan,1397/04/26,,,41452700,7,مسكوني,19,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11438255,951017,970509,235,16350,9307,519,729183,از کار افتاده,1398/02/05,4082285.71695,,16977800,2,مسكوني,114,0.75
ناحيه 3 گرگان,61694043,960311,981029,34,417,23122,556,2012413,nan,1391/05/25,4079429.44049,,11505600,20,مسكوني,28,0.75
ناحيه 3 گرگان,41132535,971105,960901,108,5264,13990,207,140679,از کار افتاده,1392/10/15,4081996.25905,272393.927789,23631100,20,مسكوني,28,0.75
ناحيه 5 گرگان,41132802,980206,970301,228,1378,7043,766,333366,قرائت نشده,1398/03/27,4079045.39615,,23411800,3,مسكوني,6,0.75
املاک استيجاري اموزشي  ,11540823,931226,980630,1210,11880,13505,642,254459,nan,1393/11/05,,271655.708812,61033710,7,مسكوني,35,0.75
ناحيه 7 گرگان,11499408,970914,980117,178,764,11111,641,2416816,nan,1398/07/14,4080057.8922,272327.895179,45711000,5,مسكوني,13,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11303287,980802,971220,153,1543,18249,31,319125,nan,1397/07/22,,273424.79781,46784100,5,مسكوني,19,0.75
ناحيه 5 گرگان,11319205,950929,950202,53,8501,513,620,726901,nan,1391/07/12,,272774.51633,33250300,21,مسكوني,61,0.75
ناحيه 5 گرگان,11520288,960209,980216,252,640,11650,415,2097746,قرائت نشده,1396/10/14,4079252.49564,,14003501,16,مسكوني,30,0.75
